Hab 1:1 [הַמַּשָּׂא] [אֲשֶׁר] [חָזָה] [חֲבַקּוּק] [הַנָּבִיא] | [KJV:] The burden which Habakkuk the prophet did see.
Hab 1:12 [הֲלוֹא] [אַתָּה] [מִקֶּדֶם] YHWH/[the] LORD [אֱלֹהַי] [קְדֹשִׁי] not [נָמוּת] YHWH/[the] LORD [לְמִשְָּׁט] [שַׂמְתּוֹ] [וְצוּר] [לְהוֹכִיחַ] [יְַדְתּוֹ] | [KJV:] Art thou not from everlasting, O Lord my God, mine Holy One? we shall not die. O Lord, thou hast ordained them for judgment; and, O mighty God, thou hast established them for correction.
Hab 1:13 [טְהוֹר] [עֵינַיִם] [מֵרְאוֹת] [רָע] [וְהַבִּיט] to/toward [עָמָל] not [תוּכָל] [לָמָּה] [תַבִּיט] [בּוֹגְדִים] [תַּחֲרִישׁ] [בְּבַלַּע] [רָשָׁע] [צַדִּיק] [מִמֶּנּוּ] | [KJV:] Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is more righteous than he?
Hab 1:14 [וַתַּעֲשֶׂה] man/mankind [כִּדְגֵי] [הַיָּם] [כְּרֶמֶשׂ] not [מֹשֵׁל] in him/it | [KJV:] And makest men as the fishes of the sea, as the creeping things, that have no ruler over them?
Hab 1:15 [כֻּלֹּה] [בְּחַכָּה] [הֵעֲלָה] [יְגֹרֵהוּ] [בְחֶרְמוֹ] [וְיַאְֵַהוּ] [בְּמִכְמַרְתּוֹ] upon [כֵּן] [יִשְׂמַח] [וְיָגִיל] | [KJV:] They take up all of them with the angle, they catch them in their net, and gather them in their drag: therefore they rejoice and are glad.
Hab 1:16 upon [כֵּן] [יְזַבֵּחַ] [לְחֶרְמוֹ] [וִיקַטֵּר] [לְמִכְמַרְתּוֹ] [כִּי] [בָהֵמָּה] [שָׁמֵן] [חֶלְקוֹ] [וּמַאֲכָלוֹ] [בְּרִאָה] | [KJV:] Therefore they sacrifice unto their net, and burn incense unto their drag; because by them their portion is fat, and their meat plenteous.
Hab 1:17 [הַעַל] [כֵּן] [יָרִיק] [חֶרְמוֹ] [וְתָמִיד] [לַהֲרֹג] nations not [יַחְמוֹל] | [KJV:] Shall they therefore empty their net, and not spare continually to slay the nations?
Hab 2:1 upon [מִשְׁמַרְתִּי] [אֶעֱמֹדָה] [וְאֶתְיַצְּבָה] upon [מָצוֹר] [וַאֲצֶַּה] [לִרְאוֹת] what [יְדַבֶּר] [בִּי] [וּמָה] [אָשִׁיב] upon [תּוֹכַחְתִּי] | [KJV:] I will stand upon my watch, and set me upon the tower, and will watch to see what he will say unto me, and what I shall answer when I am reproved.
Hab 2:2 [וַיַּעֲנֵנִי] YHWH/[the] LORD [וַיֹּאמֶר] [כְּתוֹב] [חָזוֹן] [וּבָאֵר] upon [הַלֻּחוֹת] for the sake of [יָרוּץ] [קוֹרֵא] in him/it
Hab 2:3 [כִּי] still/yet [חָזוֹן] [לַמּוֹעֵד] [וְיֵָחַ] [לַקֵּץ] and not [יְכַזֵּב] if [יִתְמַהְמָהּ] [חַכֵּה] to him [כִּי] [בֹא] he will come not [יְאַחֵר]
Hab 2:4 [הִנֵּה] [עְֻּלָה] not [יָשְׁרָה] [נְַשׁוֹ] in him/it [וְצַדִּיק] [בֶּאֱמוּנָתוֹ] [יִחְיֶה] | [KJV:] Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith.
Hab 2:5 [וְאַף] [כִּי] [הַיַּיִן] [בּוֹגֵד] [גֶּבֶר] [יָהִיר] and not [יִנְוֶה] [אֲשֶׁר] [הִרְחִיב] [כִּשְׁאוֹל] [נְַשׁוֹ] [וְהוּא] [כַמָּוֶת] and not [יִשְׂבָּע] [וַיֶּאֱֹף] to him [כָּל] [הַגּוֹיִם] [וַיִּקְבֹּץ] to him [כָּל] [הָעַמִּים] | [KJV:] Yea also, because he transgresseth by wine, he is a proud man, neither keepeth at home, who enlargeth his desire as hell, and is as death, and cannot be satisfied, but gathereth unto him all nations, and heapeth unto him all people:
Hab 2:6 [הֲלוֹא] [אֵלֶּה] [כֻלָּם] upon him [מָשָׁל] [יִשָּׂאוּ] [וּמְלִיצָה] [חִידוֹת] to him [וְיֹאמַר] [הוֹי] [הַמַּרְבֶּה] [לֹּא] to him until [מָתַי] [וּמַכְבִּיד] upon him [עַבְטִיט] | [KJV:] Shall not all these take up a parable against him, and a taunting proverb against him, and say, Woe to him that increaseth that which is not his! how long? and to him that ladeth himself with thick clay!
Hab 2:7 [הֲלוֹא] [ֶתַע] they will stand/rise [נֹשְׁכֶיךָ] [וְיִקְצוּ] [מְזַעְזְעֶיךָ] [וְהָיִיתָ] [לִמְשִּׁוֹת] [לָמוֹ] | [KJV:] Shall they not rise up suddenly that shall bite thee, and awake that shall vex thee, and thou shalt be for booties unto them?
Hab 2:8 [כִּי] [אַתָּה] [שַׁלּוֹתָ] nations [רַבִּים] [יְשָׁלּוּךָ] [כָּל] [יֶתֶר] [עַמִּים] [מִדְּמֵי] man/mankind [וַחֲמַ] land [קִרְיָה] and all [יֹשְׁבֵי] [בָהּ] | [KJV:] Because thou hast spoiled many nations, all the remnant of the people shall spoil thee; because of men's blood, and for the violence of the land, of the city, and of all that dwell therein.
Hab 2:9 [הוֹי] [בֹּצֵעַ] [בֶּצַע] [רָע] [לְבֵיתוֹ] [לָשׂוּם] [בַּמָּרוֹם] [קִנּוֹ] [לְהִנָּצֵל] [מִכַּף] [רָע] | [KJV:] Woe to him that coveteth an evil covetousness to his house, that he may set his nest on high, that he may be delivered from the power of evil!
Hab 2:10 [יָעַצְתָּ] [בֹּשֶׁת] [לְבֵיתֶךָ] [קְצוֹת] [עַמִּים] [רַבִּים] [וְחוֹטֵא] [נְַשֶׁךָ] | [KJV:] Thou hast consulted shame to thy house by cutting off many people, and hast sinned against thy soul.
Hab 2:11 [כִּי] [אֶבֶן] [מִקִּיר] [תִּזְעָק] [וְכִָי] [מֵעֵץ] [יַעֲנֶנָּה] | [KJV:] For the stone shall cry out of the wall, and the beam out of the timber shall answer it.
Hab 2:12 [הוֹי] [בֹּנֶה] city [בְּדָמִים] [וְכוֹנֵן] [קִרְיָה] [בְּעַוְלָה] | [KJV:] Woe to him that buildeth a town with blood, and stablisheth a city by iniquity!
Hab 2:13 [הֲלוֹא] [הִנֵּה] from with YHWH/[the] LORD of hosts [וְיִיגְעוּ] [עַמִּים] [בְּדֵי] [אֵשׁ] [וּלְאֻמִּים] [בְּדֵי] [רִיק] [יִעָוּ] | [KJV:] Behold, is it not of the Lord of hosts that the people shall labour in the very fire, and the people shall weary themselves for very vanity?
Hab 2:14 [כִּי] [תִּמָּלֵא] the earth/land [לָדַעַת] [with] [כְּבוֹד] YHWH/[the] LORD [כַּמַּיִם] [יְכַּוּ] upon sea
Hab 2:15 [הוֹי] [מַשְׁקֵה] [רֵעֵהוּ] [מְֵַּחַ] [חֲמָתְךָ] [וְאַף] [שַׁכֵּר] for the sake of [הַבִּיט] upon [מְעוֹרֵיהֶם] | [KJV:] Woe unto him that giveth his neighbour drink, that puttest thy bottle to him, and makest him drunken also, that thou mayest look on their nakedness!
Hab 2:16 [שָׂבַעְתָּ] [קָלוֹן] [מִכָּבוֹד] [שְׁתֵה] [גַם] [אַתָּה] [וְהֵעָרֵל] [תִּּוֹב] upon you [כּוֹ] [יְמִין] YHWH/[the] LORD [וְקִיקָלוֹן] upon [כְּבוֹדֶךָ] | [KJV:] Thou art filled with shame for glory: drink thou also, and let thy foreskin be uncovered: the cup of the Lord's right hand shall be turned unto thee, and shameful spewing shall be on thy glory.
Hab 2:17 [כִּי] [חֲמַ] [לְבָנוֹן] [יְכֶַּךָּ] [וְשֹׁד] [בְּהֵמוֹת] [יְחִיתַן] [מִדְּמֵי] man/mankind [וַחֲמַ] land [קִרְיָה] and all [יֹשְׁבֵי] [בָהּ] | [KJV:] For the violence of Lebanon shall cover thee, and the spoil of beasts, which made them afraid, because of men's blood, and for the violence of the land, of the city, and of all that dwell therein.
Hab 2:18 [מָה] [הוֹעִיל] [ֶֶּל] [כִּי] [ְָלוֹ] [יֹצְרוֹ] [מֵַּכָה] [וּמוֹרֶה] [שָּׁקֶר] [כִּי] [בָטַח] [יֹצֵר] [יִצְרוֹ] upon him to do [אֱלִילִים] [אִלְּמִים] | [KJV:] What profiteth the graven image that the maker thereof hath graven it; the molten image, and a teacher of lies, that the maker of his work trusteth therein, to make dumb idols?
Hab 2:19 [הוֹי] saying [לָעֵץ] [הָקִיצָה] [עוּרִי] [לְאֶבֶן] [דּוּמָם] he [יוֹרֶה] [הִנֵּה] he [תָּוּשׂ] gold [וָכֶֶף] and all spirit/wind [there is] no [בְּקִרְבּוֹ] | [KJV:] Woe unto him that saith to the wood, Awake; to the dumb stone, Arise, it shall teach! Behold, it is laid over with gold and silver, and there is no breath at all in the midst of it.
Hab 2:20 [וַיהוָה] [בְּהֵיכַל] [קָדְשׁוֹ] the [מִָּנָיו] [כָּל] the earth/land | [KJV:] But the Lord is in his holy temple: let all the earth keep silence before him.
Hab 3:1 [תְִּלָּה] [לַחֲבַקּוּק] [הַנָּבִיא] upon [שִׁגְיֹנוֹת] | [KJV:] A prayer of Habakkuk the prophet upon Shigionoth.
Hab 3:2 YHWH/[the] LORD [שָׁמַעְתִּי] [שִׁמְעֲךָ] [יָרֵאתִי] YHWH/[the] LORD [ָּעָלְךָ] [בְּקֶרֶב] [שָׁנִים] [חַיֵּיהוּ] [בְּקֶרֶב] [שָׁנִים] [תּוֹדִיעַ] [בְּרֹגֶז] [רַחֵם] [תִּזְכּוֹר] | [KJV:] O Lord, I have heard thy speech, and was afraid: O Lord, revive thy work in the midst of the years, in the midst of the years make known; in wrath remember mercy.
Hab 3:3 [אֱלוֹהַ] [מִתֵּימָן] [יָבוֹא] [וְקָדוֹשׁ] [מֵהַר] [ָּארָן] [ֶלָה] [כִָּּה] [שָׁמַיִם] [הוֹדוֹ] [וּתְהִלָּתוֹ] [מָלְאָה] the earth/land | [KJV:] God came from Teman, and the Holy One from mount Paran. Selah. His glory covered the heavens, and the earth was full of his praise.
Hab 3:4 [וְנֹגַהּ] [כָּאוֹר] [תִּהְיֶה] [קַרְנַיִם] [מִיָּדוֹ] to him [וְשָׁם] [חֶבְיוֹן] [עֻזֹּה] | [KJV:] And his brightness was as the light; he had horns coming out of his hand: and there was the hiding of his power.
Hab 3:5 [לְָנָיו] [יֵלֶךְ] [דָּבֶר] [וְיֵצֵא] [רֶשֶׁף] [לְרַגְלָיו] | [KJV:] Before him went the pestilence, and burning coals went forth at his feet.
Hab 3:6 [he] stood [וַיְמֹדֶד] land [he] saw [וַיַּתֵּר] nations [וַיִּתְֹּצְצוּ] [הַרְרֵי] until [שַׁחוּ] [גִּבְעוֹת] eternity/forever [הֲלִיכוֹת] eternity/forever to him
Hab 3:7 [תַּחַת] [אָוֶן] [רָאִיתִי] [אָהֳלֵי] [כוּשָׁן] [יִרְגְּזוּן] [יְרִיעוֹת] land Midian | [KJV:] I saw the tents of Cushan in affliction: and the curtains of the land of Midian did tremble.
Hab 3:8 [הֲבִנְהָרִים] [חָרָה] YHWH/[the] LORD if [בַּנְּהָרִים] [אֶַּךָ] if [בַּיָּם] [עֶבְרָתֶךָ] [כִּי] [תִרְכַּב] upon [וֶּיךָ] [מַרְכְּבֹתֶיךָ] [יְשׁוּעָה] | [KJV:] Was the Lord displeased against the rivers? was thine anger against the rivers? was thy wrath against the sea, that thou didst ride upon thine horses and thy chariots of salvation?
Hab 3:9 [עֶרְיָה] [תֵעוֹר] [קַשְׁתֶּךָ] [שְׁבֻעוֹת] tribes [אֹמֶר] [ֶלָה] [נְהָרוֹת] [תְּבַקַּע] earth | [KJV:] Thy bow was made quite naked, according to the oaths of the tribes, even thy word. Selah. Thou didst cleave the earth with rivers.
Hab 3:10 [רָאוּךָ] [יָחִילוּ] [הָרִים] [זֶרֶם] water(s) [עָבָר] [he] gave [תְּהוֹם] [קוֹלוֹ] [רוֹם] [יָדֵיהוּ] [נָשָׂא] | [KJV:] The mountains saw thee, and they trembled: the overflowing of the water passed by: the deep uttered his voice, and lifted up his hands on high.
Hab 3:11 [שֶׁמֶשׁ] moon [he] stood [זְבֻלָה] [לְאוֹר] [חִצֶּיךָ] [יְהַלֵּכוּ] [לְנֹגַהּ] [בְּרַק] [חֲנִיתֶךָ] | [KJV:] The sun and moon stood still in their habitation: at the light of thine arrows they went, and at the shining of thy glittering spear.
Hab 3:12 [בְּזַעַם] [תִּצְעַד] earth [בְּאַף] [תָּדוּשׁ] nations | [KJV:] Thou didst march through the land in indignation, thou didst thresh the heathen in anger.
Hab 3:13 [יָצָאתָ] [לְיֵשַׁע] [עַמֶּךָ] [לְיֵשַׁע] [with] [מְשִׁיחֶךָ] [מָחַצְתָּ] [רֹּאשׁ] [מִבֵּית] [רָשָׁע] [עָרוֹת] [יְוֹד] until [צַוָּאר] [ֶלָה] | [KJV:] Thou wentest forth for the salvation of thy people, even for salvation with thine anointed; thou woundedst the head out of the house of the wicked, by discovering the foundation unto the neck. Selah.
Hab 3:14 [נָקַבְתָּ] [בְמַטָּיו] head [ְּרָזוֹ] [יְִעֲרוּ] [לַהֲִיצֵנִי] [עֲלִיצֻתָם] [כְּמוֹ] [לֶאֱכֹל] poor [בַּמְִּתָּר] | [KJV:] Thou didst strike through with his staves the head of his villages: they came out as a whirlwind to scatter me: their rejoicing was as to devour the poor secretly.
Hab 3:15 [דָּרַכְתָּ] [בַיָּם] [וֶּיךָ] [חֹמֶר] water(s) [רַבִּים] | [KJV:] Thou didst walk through the sea with thine horses, through the heap of great waters.
Hab 3:16 [שָׁמַעְתִּי] [וַתִּרְגַּז] [בִּטְנִי] [לְקוֹל] [צָלֲלוּ] [שְָׂתַי] [יָבוֹא] [רָקָב] [בַּעֲצָמַי] [וְתַחְתַּי] [אֶרְגָּז] [אֲשֶׁר] [אָנוּחַ] [לְיוֹם] [צָרָה] [לַעֲלוֹת] [לְעַם] [יְגוּדֶנּוּ] | [KJV:] When I heard, my belly trembled; my lips quivered at the voice: rottenness entered into my bones, and I trembled in myself, that I might rest in the day of trouble: when he cometh up unto the people, he will invade them with his troops.
Hab 3:17 [כִּי] [תְאֵנָה] not [תְִרָח] [וְאֵין] [יְבוּל] [בַּגְָּנִים] [כִּחֵשׁ] [מַעֲשֵׂה] [זַיִת] [וּשְׁדֵמוֹת] not [עָשָׂה] [אֹכֶל] [גָּזַר] [מִמִּכְלָה] flock [וְאֵין] [בָּקָר] [בָּרְָתִים] | [KJV:] Although the fig tree shall not blossom, neither shall fruit be in the vines; the labour of the olive shall fail, and the fields shall yield no meat; the flock shall be cut off from the fold, and there shall be no herd in the stalls:
Hab 3:18 [וַאֲנִי] [בַּיהוָה] [אֶעְלוֹזָה] [אָגִילָה] [בֵּאלֹהֵי] [יִשְׁעִי] | [KJV:] Yet I will rejoice in the Lord, I will joy in the God of my salvation.
Hab 3:19 [יְהוִה] my Lord [חֵילִי] [וַיָּשֶׂם] [רַגְלַי] [כָּאַיָּלוֹת] and upon [בָּמוֹתַי] [יַדְרִכֵנִי] [לַמְנַצֵּחַ] [בִּנְגִינוֹתָי] | [KJV:] The Lord God is my strength, and he will make my feet like hinds' feet, and he will make me to walk upon mine high places. To the chief singer on my stringed instruments.
