Nah 1:1 [מַשָּׂא] [נִינְוֵה] [ֵֶר] [חֲזוֹן] [נַחוּם] [הָאֶלְקֹשִׁי] | [KJV:] The burden of Nineveh. The book of the vision of Nahum the Elkoshite.
Nah 2:7 [שַׁעֲרֵי] [הַנְּהָרוֹת] [נְִתָּחוּ] [וְהַהֵיכָל] [נָמוֹג] | [KJV:] And Huzzab shall be led away captive, she shall be brought up, and her maids shall lead her as with the voice of doves, tabering upon their breasts.
Nah 2:8 [וְהֻצַּב] [גֻּלְּתָה] [הֹעֲלָתָה] [וְאַמְהֹתֶיהָ] [מְנַהֲגוֹת] [כְּקוֹל] [יוֹנִים] [מְתְֹֹת] upon [לִבְבֵהֶן] | [KJV:] But Nineveh is of old like a pool of water: yet they shall flee away. Stand, stand, shall they cry; but none shall look back.
Nah 2:9 [וְנִינְוֵה] [כִבְרֵכַת] water(s) [מִימֵי] she [וְהֵמָּה] [נִָים] [עִמְדוּ] [עֲמֹדוּ] [וְאֵין] [מְַנֶה] | [KJV:] Take ye the spoil of silver, take the spoil of gold: for there is none end of the store and glory out of all the pleasant furniture.
Nah 2:10 [בֹּזּוּ] [כֶֶף] [בֹּזּוּ] gold [וְאֵין] [קֵצֶה] [לַתְּכוּנָה] [כָּבֹד] [מִכֹּל] [כְּלִי] [חֶמְדָּה] | [KJV:] She is empty, and void, and waste: and the heart melteth, and the knees smite together, and much pain is in all loins, and the faces of them all gather blackness.
Nah 2:11 [בּוּקָה] [וּמְבוּקָה] [וּמְבֻלָּקָה] [וְלֵב] [נָמֵ] [וִּק] [בִּרְכַּיִם] [וְחַלְחָלָה] [בְּכָל] [מָתְנַיִם] [וְּנֵי] [כֻלָּם] [קִבְּצוּ] [ָארוּר] | [KJV:] Where is the dwelling of the lions, and the feedingplace of the young lions, where the lion, even the old lion, walked, and the lion's whelp, and none made them afraid?
Nah 2:12 [אַיֵּה] [מְעוֹן] [אֲרָיוֹת] [וּמִרְעֶה] he [לַכְִּרִים] [אֲשֶׁר] [he] walked [אַרְיֵה] [לָבִיא] [שָׁם] [גּוּר] [אַרְיֵה] [וְאֵין] [מַחֲרִיד] | [KJV:] The lion did tear in pieces enough for his whelps, and strangled for his lionesses, and filled his holes with prey, and his dens with ravin.
Nah 2:13 [אַרְיֵה] [טֹרֵף] [בְּדֵי] [גֹרוֹתָיו] [וּמְחַנֵּק] [לְלִבְאֹתָיו] [וַיְמַלֵּא] [טֶרֶף] [חֹרָיו] [וּמְעֹנֹתָיו] [טְרֵָה] | [KJV:] Behold, I am against thee, saith the Lord of hosts, and I will burn her chariots in the smoke, and the sword shall devour thy young lions: and I will cut off thy prey from the earth, and the voice of thy messengers shall no more be heard.
Nah 2:14 [הִנְנִי] [אֵלַיִךְ] [נְאֻם] YHWH/[the] LORD of hosts [וְהִבְעַרְתִּי] [בֶעָשָׁן] [רִכְבָּהּ] [וּכְִירַיִךְ] [תֹּאכַל] sword [וְהִכְרַתִּי] from [the] land [טַרְֵּךְ] and not [יִשָּׁמַע] still/yet voice [מַלְאָכֵכֵה]
Nah 3:1 [הוֹי] city [דָּמִים] [כֻּלָּהּ] [כַּחַשׁ] [ֶּרֶק] [מְלֵאָה] not [יָמִישׁ] [טָרֶף] | [KJV:] Woe to the bloody city! it is all full of lies and robbery; the prey departeth not;
Nah 3:2 voice [שׁוֹט] [וְקוֹל] [רַעַשׁ] [אוָֹן] [וְוּ] [דֹּהֵר] [וּמֶרְכָּבָה] [מְרַקֵּדָה] | [KJV:] The noise of a whip, and the noise of the rattling of the wheels, and of the pransing horses, and of the jumping chariots.
Nah 3:3 [ָּרָשׁ] [מַעֲלֶה] [וְלַהַב] sword [וּבְרַק] [חֲנִית] [וְרֹב] [חָלָל] [וְכֹבֶד] [ָּגֶר] [וְאֵין] [קֵצֶה] [לַגְּוִיָּה] [יִכְשְׁלוּ] [בִּגְוִיָּתָם] | [KJV:] The horseman lifteth up both the bright sword and the glittering spear: and there is a multitude of slain, and a great number of carcases; and there is none end of their corpses; they stumble upon their corpses:
Nah 3:4 [מֵרֹב] [זְנוּנֵי] [זוֹנָה] [טוֹבַת] grace [בַּעֲלַת] [כְּשִָׁים] [הַמֹּכֶרֶת] nations [בִּזְנוּנֶיהָ] [וּמִשְָּׁחוֹת] [בִּכְשֶָׁיהָ] | [KJV:] Because of the multitude of the whoredoms of the wellfavoured harlot, the mistress of witchcrafts, that selleth nations through her whoredoms, and families through her witchcrafts.
Nah 3:5 [הִנְנִי] [אֵלַיִךְ] [נְאֻם] YHWH/[the] LORD of hosts [וְגִלֵּיתִי] [שׁוּלַיִךְ] upon [ָּנָיִךְ] [וְהַרְאֵיתִי] [גוֹיִם] [מַעְרֵךְ] [וּמַמְלָכוֹת] [קְלוֹנֵךְ] | [KJV:] Behold, I am against thee, saith the Lord of hosts; and I will discover thy skirts upon thy face, and I will shew the nations thy nakedness, and the kingdoms thy shame.
Nah 3:6 [וְהִשְׁלַכְתִּי] [עָלַיִךְ] [שִׁקֻּצִים] [וְנִבַּלְתִּיךְ] [וְשַׂמְתִּיךְ] [כְּרֹאִי] | [KJV:] And I will cast abominable filth upon thee, and make thee vile, and will set thee as a gazingstock.
Nah 3:7 and he shall be [כָל] [רֹאַיִךְ] [יִדּוֹד] [מִמֵּךְ] [וְאָמַר] [שָׁדְּדָה] [נִינְוֵה] who [יָנוּד] to her [מֵאַיִן] [אֲבַקֵּשׁ] [מְנַחֲמִים] to you [f] | [KJV:] And it shall come to pass, that all they that look upon thee shall flee from thee, and say, Nineveh is laid waste: who will bemoan her? whence shall I seek comforters for thee?
Nah 3:8 [הֲתֵיטְבִי] [מִנֹּא] [אָמוֹן] [הַיֹּשְׁבָה] [בַּיְאֹרִים] water(s) [ָבִיב] to her [אֲשֶׁר] [חֵיל] sea [מִיָּם] [חוֹמָתָהּ] | [KJV:] Art thou better than populous No, that was situate among the rivers, that had the waters round about it, whose rampart was the sea, and her wall was from the sea?
Nah 3:9 [כּוּשׁ] [עָצְמָה] [וּמִצְרַיִם] [וְאֵין] [קֵצֶה] [ּוּט] [וְלוּבִים] they were [בְּעֶזְרָתֵךְ] | [KJV:] Ethiopia and Egypt were her strength, and it was infinite; Put and Lubim were thy helpers.
Nah 3:10 [גַּם] she [לַגֹּלָה] [הָלְכָה] [בַשֶּׁבִי] [גַּם] [עֹלָלֶיהָ] [יְרֻטְּשׁוּ] [בְּרֹאשׁ] [כָּל] [חוּצוֹת] and upon [נִכְבַּדֶּיהָ] [יַדּוּ] [גוֹרָל] and all [גְּדוֹלֶיהָ] [רֻתְּקוּ] [בַזִּקִּים] | [KJV:] Yet was she carried away, she went into captivity: her young children also were dashed in pieces at the top of all the streets: and they cast lots for her honourable men, and all her great men were bound in chains.
Nah 3:11 [גַּם] [אַתְּ] [תִּשְׁכְּרִי] [תְּהִי] [נַעֲלָמָה] [גַּם] [אַתְּ] [תְּבַקְשִׁי] [מָעוֹז] [מֵאוֹיֵב] | [KJV:] Thou also shalt be drunken: thou shalt be hid, thou also shalt seek strength because of the enemy.
Nah 3:12 [כָּל] [מִבְצָרַיִךְ] [תְּאֵנִים] with [בִּכּוּרִים] if [יִנּוֹעוּ] [וְנְָלוּ] upon [ִּי] [אוֹכֵל] | [KJV:] All thy strong holds shall be like fig trees with the firstripe figs: if they be shaken, they shall even fall into the mouth of the eater.
Nah 3:13 [הִנֵּה] [עַמֵּךְ] [נָשִׁים] [בְּקִרְבֵּךְ] [לְאֹיְבַיִךְ] [ָּתוֹחַ] [נְִתְּחוּ] [שַׁעֲרֵי] [אַרְצֵךְ] [אָכְלָה] [אֵשׁ] [בְּרִיחָיִך] | [KJV:] Behold, thy people in the midst of thee are women: the gates of thy land shall be set wide open unto thine enemies: the fire shall devour thy bars.
Nah 3:14 [מֵי] [מָצוֹר] [שַׁאֲבִי] to you [f] [חַזְּקִי] [מִבְצָרָיִךְ] [בֹּאִי] [בַטִּיט] [וְרִמְִי] [בַחֹמֶר] [הַחֲזִיקִי] [מַלְבֵּן] | [KJV:] Draw thee waters for the siege, fortify thy strong holds: go into clay, and tread the morter, make strong the brickkiln.
Nah 3:15 [שָׁם] [תֹּאכְלֵךְ] [אֵשׁ] [תַּכְרִיתֵךְ] sword [תֹּאכְלֵךְ] [כַּיָּלֶק] [הִתְכַּבֵּד] [כַּיֶּלֶק] [הִתְכַּבְּדִי] [כָּאַרְבֶּה] | [KJV:] There shall the fire devour thee; the sword shall cut thee off, it shall eat thee up like the cankerworm: make thyself many as the cankerworm, make thyself many as the locusts.
Nah 3:16 [הִרְבֵּית] [רֹכְלַיִךְ] [מִכּוֹכְבֵי] [הַשָּׁמָיִם] [יֶלֶק] [ָּשַׁט] [וַיָּעֹף] | [KJV:] Thou hast multiplied thy merchants above the stars of heaven: the cankerworm spoileth, and fleeth away.
Nah 3:17 [מִנְּזָרַיִךְ] [כָּאַרְבֶּה] [וְטְְַרַיִךְ] [כְּגוֹב] [גֹּבָי] [הַחוֹנִים] [בַּגְּדֵרוֹת] [בְּיוֹם] [קָרָה] [שֶׁמֶשׁ] [זָרְחָה] [וְנוֹדַד] and not [נוֹדַע] [מְקוֹמוֹ] [אַיָּם] | [KJV:] Thy crowned are as the locusts, and thy captains as the great grasshoppers, which camp in the hedges in the cold day, but when the sun ariseth they flee away, and their place is not known where they are.
Nah 3:18 [נָמוּ] [רֹעֶיךָ] king [אַשּׁוּר] [יִשְׁכְּנוּ] [אַדִּירֶיךָ] [נָֹשׁוּ] [עַמְּךָ] upon [הֶהָרִים] [וְאֵין] [מְקַבֵּץ] | [KJV:] Thy shepherds slumber, O king of Assyria: thy nobles shall dwell in the dust: thy people is scattered upon the mountains, and no man gathereth them.
Nah 3:19 [there is] no [כֵּהָה] [לְשִׁבְרֶךָ] [נַחְלָה] [מַכָּתֶךָ] all [שֹׁמְעֵי] [שִׁמְעֲךָ] [תָּקְעוּ] [כַף] upon you [כִּי] upon who not [עָבְרָה] [רָעָתְךָ] [תָּמִיד] | [KJV:] There is no healing of thy bruise; thy wound is grievous: all that hear the bruit of thee shall clap the hands over thee: for upon whom hath not thy wickedness passed continually?
