Prov 1:1 [מִשְׁלֵי] [שְׁלֹמֹה] [בֶן] [דָּוִד] king [יִשְׂרָאֵל] | [KJV:] The proverbs of Solomon the son of David, king of Israel;
Prov 2:10 [כִּי] [תָבוֹא] [חָכְמָה] [בְלִבֶּךָ] [וְדַעַת] [לְנְַשְׁךָ] [יִנְעָם] | [KJV:] When wisdom entereth into thine heart, and knowledge is pleasant unto thy soul;
Prov 2:11 [מְזִמָּה] [תִּשְׁמֹר] upon you [תְּבוּנָה] [תִנְצְרֶכָּה] | [KJV:] Discretion shall preserve thee, understanding shall keep thee:
Prov 2:12 [לְהַצִּילְךָ] [מִדֶּרֶךְ] [רָע] [מֵאִישׁ] [מְדַבֵּר] [תַּהְֻּכוֹת] | [KJV:] To deliver thee from the way of the evil man, from the man that speaketh froward things;
Prov 2:13 [הַעֹזְבִים] [אָרְחוֹת] [יֹשֶׁר] to go [בְּדַרְכֵי] [חֹשֶׁךְ] | [KJV:] Who leave the paths of uprightness, to walk in the ways of darkness;
Prov 2:14 [הַשְּׂמֵחִים] to do [רָע] [יָגִילוּ] [בְּתַהְֻּכוֹת] [רָע] | [KJV:] Who rejoice to do evil, and delight in the frowardness of the wicked;
Prov 2:15 [אֲשֶׁר] [אָרְחֹתֵיהֶם] [עִקְּשִׁים] [וּנְלוֹזִים] [בְּמַעְגְּלוֹתָם] | [KJV:] Whose ways are crooked, and they froward in their paths:
Prov 2:16 [לְהַצִּילְךָ] [מֵאִשָּׁה] [זָרָה] [מִנָּכְרִיָּה] [אֲמָרֶיהָ] [הֶחֱלִיקָה] | [KJV:] To deliver thee from the strange woman, even from the stranger which flattereth with her words;
Prov 2:17 [הַעֹזֶבֶת] [אַלּוּף] [נְעוּרֶיהָ] and [with/acc] [בְּרִית] [אֱלֹהֶיהָ] [שָׁכֵחָה] | [KJV:] Which forsaketh the guide of her youth, and forgetteth the covenant of her God.
Prov 2:18 [כִּי] [שָׁחָה] to/toward [מָוֶת] [בֵּיתָהּ] and to [רְָאִים] [מַעְגְּלֹתֶיהָ] | [KJV:] For her house inclineth unto death, and her paths unto the dead.
Prov 2:19 [כָּל] [בָּאֶיהָ] not [יְשׁוּבוּן] and not [יַשִּׂיגוּ] [אָרְחוֹת] [חַיִּים] | [KJV:] None that go unto her return again, neither take they hold of the paths of life.
Prov 2:20 for the sake of [תֵּלֵךְ] [בְּדֶרֶךְ] [טוֹבִים] [וְאָרְחוֹת] [צַדִּיקִים] [תִּשְׁמֹר] | [KJV:] That thou mayest walk in the way of good men, and keep the paths of the righteous.
Prov 2:21 [כִּי] [יְשָׁרִים] [יִשְׁכְּנוּ] earth [וּתְמִימִים] [יִוָּתְרוּ] [בָהּ] | [KJV:] For the upright shall dwell in the land, and the perfect shall remain in it.
Prov 2:22 [וּרְשָׁעִים] from [the] land [יִכָּרֵתוּ] [וּבוֹגְדִים] [יְִּחוּ] [מִמֶּנָּה] | [KJV:] But the wicked shall be cut off from the earth, and the transgressors shall be rooted out of it.
Prov 3:1 [בְּנִי] [תּוֹרָתִי] not [imperative] [תִּשְׁכָּח] [וּמִצְוֹתַי] [יִצֹּר] [לִבֶּךָ] | [KJV:] My son, forget not my law; but let thine heart keep my commandments:
Prov 3:2 [כִּי] [אֹרֶךְ] days [וּשְׁנוֹת] [חַיִּים] [וְשָׁלוֹם] [יוִֹיוּ] to you [f] | [KJV:] For length of days, and long life, and peace, shall they add to thee.
Prov 3:3 [חֶֶד] [וֶאֱמֶת] not [imperative] [יַעַזְבֻךָ] [קָשְׁרֵם] upon [גַּרְגְּרוֹתֶיךָ] [כָּתְבֵם] upon [לוּחַ] [לִבֶּךָ] | [KJV:] Let not mercy and truth forsake thee: bind them about thy neck; write them upon the table of thine heart:
Prov 3:4 [וּמְצָא] grace [וְשֵׂכֶל] good [בְּעֵינֵי] God [וְאָדָם] | [KJV:] So shalt thou find favour and good understanding in the sight of God and man.
Prov 3:5 [בְּטַח] to/toward YHWH/[the] LORD [בְּכָל] [לִבֶּךָ] and to [בִּינָתְךָ] not [imperative] [תִּשָּׁעֵן]
Prov 3:6 [בְּכָל] [דְּרָכֶיךָ] [דָעֵהוּ] [וְהוּא] [יְיַשֵּׁר] [אֹרְחֹתֶיךָ] | [KJV:] In all thy ways acknowledge him, and he shall direct thy paths.
Prov 3:7 not [imperative] [תְּהִי] wise [בְּעֵינֶיךָ] [יְרָא] [with] YHWH/[the] LORD [וְוּר] [מֵרָע] | [KJV:] Be not wise in thine own eyes: fear the Lord, and depart from evil.
Prov 3:8 [רְִאוּת] [תְּהִי] [לְשָׁרֶּךָ] [וְשִׁקּוּי] [לְעַצְמוֹתֶיךָ] | [KJV:] It shall be health to thy navel, and marrow to thy bones.
Prov 3:9 [כַּבֵּד] [with] YHWH/[the] LORD [מֵהוֹנֶךָ] [וּמֵרֵאשִׁית] [כָּל] [תְּבוּאָתֶךָ] | [KJV:] Honour the Lord with thy substance, and with the firstfruits of all thine increase:
Prov 3:10 [וְיִמָּלְאוּ] [אֲָמֶיךָ] [שָׂבָע] [וְתִירוֹשׁ] [יְקָבֶיךָ] [יְִרֹצוּ] | [KJV:] So shall thy barns be filled with plenty, and thy presses shall burst out with new wine.
Prov 3:11 [מוַּר] YHWH/[the] LORD [בְּנִי] not [imperative] [תִּמְאָ] [וְאַל] [תָּקֹץ] [בְּתוֹכַחְתּוֹ] | [KJV:] My son, despise not the chastening of the Lord; neither be weary of his correction:
Prov 3:12 [כִּי] [with] [אֲשֶׁר] [יֶאֱהַב] YHWH/[the] LORD [יוֹכִיחַ] [וּכְאָב] [with] [בֵּן] [יִרְצֶה] | [KJV:] For whom the Lord loveth he correcteth; even as a father the son in whom he delighteth.
Prov 3:13 [אַשְׁרֵי] man/mankind [מָצָא] [חָכְמָה] [וְאָדָם] [יִָיק] [תְּבוּנָה] | [KJV:] Happy is the man that findeth wisdom, and the man that getteth understanding.
Prov 3:14 [כִּי] good [ַחְרָהּ] [מְִּחַר] [כֶָּף] [וּמֵחָרוּץ] [תְּבוּאָתָהּ] | [KJV:] For the merchandise of it is better than the merchandise of silver, and the gain thereof than fine gold.
Prov 3:15 [יְקָרָה] she [מְִּנִיִּים] and all [חֲָצֶיךָ] not [יִשְׁווּ] [בָהּ] | [KJV:] She is more precious than rubies: and all the things thou canst desire are not to be compared unto her.
Prov 3:16 [אֹרֶךְ] days [בִּימִינָהּ] [בִּשְׂמֹאולָהּ] [עֹשֶׁר] [וְכָבוֹד] | [KJV:] Length of days is in her right hand; and in her left hand riches and honour.
Prov 3:17 [דְּרָכֶיהָ] [דַרְכֵי] [נֹעַם] and all [נְתִיבוֹתֶיהָ] [שָׁלוֹם] | [KJV:] Her ways are ways of pleasantness, and all her paths are peace.
Prov 3:18 tree [חַיִּים] she [לַמַּחֲזִיקִים] [בָּהּ] [וְתֹמְכֶיהָ] [מְאֻשָּׁר] | [KJV:] She is a tree of life to them that lay hold upon her: and happy is every one that retaineth her.
Prov 3:19 YHWH/[the] LORD [בְּחָכְמָה] [יַָד] earth [כּוֹנֵן] [שָׁמַיִם] [בִּתְבוּנָה] | [KJV:] The Lord by wisdom hath founded the earth; by understanding hath he established the heavens.
Prov 3:20 [בְּדַעְתּוֹ] [תְּהוֹמוֹת] [נִבְקָעוּ] [וּשְׁחָקִים] [יִרְעֲוּ] [טָל] | [KJV:] By his knowledge the depths are broken up, and the clouds drop down the dew.
Prov 3:21 [בְּנִי] not [imperative] [יָלֻזוּ] [מֵעֵינֶיךָ] [נְצֹר] [תֻּשִׁיָּה] [וּמְזִמָּה] | [KJV:] My son, let not them depart from thine eyes: keep sound wisdom and discretion:
Prov 3:22 [וְיִהְיוּ] [חַיִּים] [לְנְַשֶׁךָ] [וְחֵן] [לְגַרְגְּרֹתֶיךָ] | [KJV:] So shall they be life unto thy soul, and grace to thy neck.
Prov 3:23 then [תֵּלֵךְ] [לָבֶטַח] [דַּרְכֶּךָ] [וְרַגְלְךָ] not [תִגּוֹף] | [KJV:] Then shalt thou walk in thy way safely, and thy foot shall not stumble.
Prov 3:24 if [תִּשְׁכַּב] not [תְִחָד] [וְשָׁכַבְתָּ] [וְעָרְבָה] [שְׁנָתֶךָ] | [KJV:] When thou liest down, thou shalt not be afraid: yea, thou shalt lie down, and thy sleep shall be sweet.
Prov 3:25 not [imperative] [תִּירָא] [מִַּחַד] [ִּתְאֹם] [וּמִשֹּׁאַת] [רְשָׁעִים] [כִּי] [תָבֹא] | [KJV:] Be not afraid of sudden fear, neither of the desolation of the wicked, when it cometh.
Prov 3:26 [כִּי] YHWH/[the] LORD he will be [בְכְִלֶךָ] [וְשָׁמַר] [רַגְלְךָ] [מִלָּכֶד]
Prov 3:27 not [imperative] [תִּמְנַע] good [מִבְּעָלָיו] [בִּהְיוֹת] [לְאֵל] [יָדֶיךָ] to do | [KJV:] Withhold not good from them to whom it is due, when it is in the power of thine hand to do it.
Prov 3:28 not [imperative] [תֹּאמַר] [לְרֵעֶיךָ] [לֵךְ] [וָשׁוּב] [וּמָחָר] [אֶתֵּן] [וְיֵשׁ] [אִתָּךְ] | [KJV:] Say not unto thy neighbour, Go, and come again, and to morrow I will give; when thou hast it by thee.
Prov 3:29 not [imperative] [תַּחֲרֹשׁ] upon [רֵעֲךָ] [רָעָה] [וְהוּא] [יוֹשֵׁב] [לָבֶטַח] [אִתָּךְ] | [KJV:] Devise not evil against thy neighbour, seeing he dwelleth securely by thee.
Prov 3:30 not [imperative] [תָּרוֹב] with man/mankind [חִנָּם] if not [גְמָלְךָ] [רָעָה]
Prov 3:31 not [imperative] [תְּקַנֵּא] [בְּאִישׁ] [חָמָ] [וְאַל] [תִּבְחַר] [בְּכָל] [דְּרָכָיו] | [KJV:] Envy thou not the oppressor, and choose none of his ways.
Prov 3:32 [כִּי] [תוֹעֲבַת] YHWH/[the] LORD [נָלוֹז] and [with/acc] [יְשָׁרִים] [וֹדוֹ] | [KJV:] For the froward is abomination to the Lord: but his secret is with the righteous.
Prov 3:33 [מְאֵרַת] YHWH/[the] LORD [בְּבֵית] [רָשָׁע] [וּנְוֵה] [צַדִּיקִים] [יְבָרֵךְ] | [KJV:] The curse of the Lord is in the house of the wicked: but he blesseth the habitation of the just.
Prov 3:34 if [לַלֵּצִים] he [יָלִיץ] [וְלַעֲנִיִּים] [יִתֶּן] grace | [KJV:] Surely he scorneth the scorners: but he giveth grace unto the lowly.
Prov 3:35 [כָּבוֹד] [חֲכָמִים] [יִנְחָלוּ] [וּכְִילִים] [מֵרִים] [קָלוֹן] | [KJV:] The wise shall inherit glory: but shame shall be the promotion of fools.
Prov 4:1 [שִׁמְעוּ] [בָנִים] [מוַּר] father [וְהַקְשִׁיבוּ] [לָדַעַת] [בִּינָה] | [KJV:] Hear, ye children, the instruction of a father, and attend to know understanding.
Prov 4:2 [כִּי] [לֶקַח] good [נָתַתִּי] to you [pl] [תּוֹרָתִי] not [imperative] [תַּעֲזֹבוּ] | [KJV:] For I give you good doctrine, forsake ye not my law.
Prov 4:3 [כִּי] [בֵן] [הָיִיתִי] [לְאָבִי] [רַךְ] [וְיָחִיד] [לְִנֵי] [אִמִּי] | [KJV:] For I was my father's son, tender and only beloved in the sight of my mother.
Prov 4:4 [וַיֹּרֵנִי] [וַיֹּאמֶר] to me [יִתְמָךְ] [דְּבָרַי] [לִבֶּךָ] [שְׁמֹר] [מִצְוֹתַי] [וֶחְיֵה] | [KJV:] He taught me also, and said unto me, Let thine heart retain my words: keep my commandments, and live.
Prov 4:5 [קְנֵה] [חָכְמָה] [קְנֵה] [בִינָה] not [imperative] [תִּשְׁכַּח] [וְאַל] [תֵּט] [מֵאִמְרֵי] [ִי] | [KJV:] Get wisdom, get understanding: forget it not; neither decline from the words of my mouth.
Prov 4:6 not [imperative] [תַּעַזְבֶהָ] [וְתִשְׁמְרֶךָּ] [אֱהָבֶהָ] [וְתִצְּרֶךָּ] | [KJV:] Forsake her not, and she shall preserve thee: love her, and she shall keep thee.
Prov 4:7 [רֵאשִׁית] [חָכְמָה] [קְנֵה] [חָכְמָה] [וּבְכָל] [קִנְיָנְךָ] [קְנֵה] [בִינָה] | [KJV:] Wisdom is the principal thing; therefore get wisdom: and with all thy getting get understanding.
Prov 4:8 [ַלְְלֶהָ] [וּתְרוֹמְמֶךָּ] [תְּכַבֵּדְךָ] [כִּי] [תְחַבְּקֶנָּה] | [KJV:] Exalt her, and she shall promote thee: she shall bring thee to honour, when thou dost embrace her.
Prov 4:9 [תִּתֵּן] [לְרֹאשְׁךָ] [לִוְיַת] grace [עֲטֶרֶת] [תְִּאֶרֶת] [תְּמַגְּנֶךָּ] | [KJV:] She shall give to thine head an ornament of grace: a crown of glory shall she deliver to thee.
Prov 4:10 [שְׁמַע] [בְּנִי] [וְקַח] [אֲמָרָי] [וְיִרְבּוּ] to you [שְׁנוֹת] [חַיִּים] | [KJV:] Hear, O my son, and receive my sayings; and the years of thy life shall be many.
Prov 4:11 [בְּדֶרֶךְ] [חָכְמָה] [הֹרֵתִיךָ] [הִדְרַכְתִּיךָ] [בְּמַעְגְּלֵי] [יֹשֶׁר] | [KJV:] I have taught thee in the way of wisdom; I have led thee in right paths.
Prov 4:12 [בְּלֶכְתְּךָ] not [יֵצַר] [צַעֲדֶךָ] and if [תָּרוּץ] not [תִכָּשֵׁל] | [KJV:] When thou goest, thy steps shall not be straitened; and when thou runnest, thou shalt not stumble.
Prov 4:13 [הַחֲזֵק] [בַּמּוָּר] not [imperative] [תֶּרֶף] [נִצְּרֶהָ] [כִּי] she [חַיֶּיךָ] | [KJV:] Take fast hold of instruction; let her not go: keep her; for she is thy life.
Prov 4:14 [בְּאֹרַח] [רְשָׁעִים] not [imperative] [תָּבֹא] [וְאַל] [תְּאַשֵּׁר] [בְּדֶרֶךְ] [רָעִים] | [KJV:] Enter not into the path of the wicked, and go not in the way of evil men.
Prov 4:15 [ְּרָעֵהוּ] not [imperative] [תַּעֲבָר] in him/it [שְׂטֵה] [מֵעָלָיו] [וַעֲבוֹר] | [KJV:] Avoid it, pass not by it, turn from it, and pass away.
Prov 4:16 [כִּי] not [יִשְׁנוּ] if not [יָרֵעוּ] [וְנִגְזְלָה] [שְׁנָתָם] if not [יִכְשׁוֹלוּ]
Prov 4:17 [כִּי] [לָחֲמוּ] bread [רֶשַׁע] [וְיֵין] [חֲמִָים] [יִשְׁתּוּ] | [KJV:] For they eat the bread of wickedness, and drink the wine of violence.
Prov 4:18 [וְאֹרַח] [צַדִּיקִים] [כְּאוֹר] [נֹגַהּ] [הוֹלֵךְ] [וָאוֹר] until [נְכוֹן] today | [KJV:] But the path of the just is as the shining light, that shineth more and more unto the perfect day.
Prov 4:19 [דֶּרֶךְ] [רְשָׁעִים] [כָּאֲֵלָה] not [יָדְעוּ] [בַּמֶּה] [יִכָּשֵׁלוּ] | [KJV:] The way of the wicked is as darkness: they know not at what they stumble.
Prov 4:20 [בְּנִי] [לִדְבָרַי] [הַקְשִׁיבָה] [לַאֲמָרַי] [הַט] [אָזְנֶךָ] | [KJV:] My son, attend to my words; incline thine ear unto my sayings.
Prov 4:21 not [imperative] [יַלִּיזוּ] [מֵעֵינֶיךָ] [שָׁמְרֵם] [בְּתוֹךְ] [לְבָבֶךָ] | [KJV:] Let them not depart from thine eyes; keep them in the midst of thine heart.
Prov 4:22 [כִּי] [חַיִּים] they [לְמֹצְאֵיהֶם] [וּלְכָל] [בְּשָׂרוֹ] [מַרְֵּא] | [KJV:] For they are life unto those that find them, and health to all their flesh.
Prov 4:23 [מִכָּל] [מִשְׁמָר] [נְצֹר] [לִבֶּךָ] [כִּי] [מִמֶּנּוּ] [תּוֹצְאוֹת] [חַיִּים] | [KJV:] Keep thy heart with all diligence; for out of it are the issues of life.
Prov 4:24 [הֵָר] [מִמְּךָ] [עִקְּשׁוּת] [ֶּה] [וּלְזוּת] [שְָׂתַיִם] [הַרְחֵק] [מִמֶּךָּ] | [KJV:] Put away from thee a froward mouth, and perverse lips put far from thee.
Prov 4:25 [עֵינֶיךָ] [לְנֹכַח] [יַבִּיטוּ] [וְעְַעֶַּיךָ] [יַיְשִׁרוּ] [נֶגְדֶּךָ] | [KJV:] Let thine eyes look right on, and let thine eyelids look straight before thee.
Prov 4:26 [ַּלֵּ] [מַעְגַּל] [רַגְלֶךָ] and all [דְּרָכֶיךָ] [יִכֹּנוּ] | [KJV:] Ponder the path of thy feet, and let all thy ways be established.
Prov 4:27 not [imperative] [תֵּט] [יָמִין] [וּשְׂמֹאול] [הֵָר] [רַגְלְךָ] [מֵרָע] | [KJV:] Turn not to the right hand nor to the left: remove thy foot from evil.
Prov 5:1 [בְּנִי] [לְחָכְמָתִי] [הַקְשִׁיבָה] [לִתְבוּנָתִי] [הַט] [אָזְנֶךָ] | [KJV:] My son, attend unto my wisdom, and bow thine ear to my understanding:
Prov 5:2 [לִשְׁמֹר] [מְזִמּוֹת] [וְדַעַת] [שְָׂתֶיךָ] [יִנְצֹרוּ] | [KJV:] That thou mayest regard discretion, and that thy lips may keep knowledge.
Prov 5:3 [כִּי] [נֶֹת] [תִּטְֹּנָה] [שְִׂתֵי] [זָרָה] [וְחָלָק] [מִשֶּׁמֶן] [חִכָּהּ] | [KJV:] For the lips of a strange woman drop as an honeycomb, and her mouth is smoother than oil:
Prov 5:4 [וְאַחֲרִיתָהּ] [מָרָה] [כַלַּעֲנָה] [חַדָּה] [כְּחֶרֶב] [ִּיּוֹת] | [KJV:] But her end is bitter as wormwood, sharp as a two-edged sword.
Prov 5:5 [רַגְלֶיהָ] [יֹרְדוֹת] [מָוֶת] [שְׁאוֹל] [צְעָדֶיהָ] [יִתְמֹכוּ] | [KJV:] Her feet go down to death; her steps take hold on hell.
Prov 5:6 [אֹרַח] [חַיִּים] [ֶּן] [תְַּלֵּ] [נָעוּ] [מַעְגְּלֹתֶיהָ] not [תֵדָע] | [KJV:] Lest thou shouldest ponder the path of life, her ways are moveable, that thou canst not know them.
Prov 5:7 [וְעַתָּה] [בָנִים] [שִׁמְעוּ] to me [וְאַל] [תָּוּרוּ] [מֵאִמְרֵי] [ִי] | [KJV:] Hear me now therefore, O ye children, and depart not from the words of my mouth.
Prov 5:8 [הַרְחֵק] [מֵעָלֶיהָ] [דַרְכֶּךָ] [וְאַל] [תִּקְרַב] to/toward [ֶּתַח] [בֵּיתָהּ] | [KJV:] Remove thy way far from her, and come not nigh the door of her house:
Prov 5:9 [ֶּן] [תִּתֵּן] [לַאֲחֵרִים] [הוֹדֶךָ] [וּשְׁנֹתֶיךָ] [לְאַכְזָרִי] | [KJV:] Lest thou give thine honour unto others, and thy years unto the cruel:
